formulation,seed,algorithm,is_feasible,best_fitness,physical_fuel_tonnes,operational_cost_usd,wtw_ghg_tonnes,schedule_delay_hours,penalty,penalty_free,runtime_seconds,evaluations
A_Fuel_Only,1026,DE,True,2225.8897,238.84,240966.75,783.49,0.75,2221.07,False,0.34,2500
A_Fuel_Only,1027,DE,True,19525.4192,248.25,259688.43,746.61,9.33,19520.33,False,0.324,2500
A_Fuel_Only,1028,DE,True,6249.7408,186.95,187328.47,694.69,2.8,6245.99,False,0.344,2500
A_Fuel_Only,1029,DE,True,30348.9883,292.01,318707.21,743.99,14.48,30343.09,False,0.322,2500
A_Fuel_Only,1030,DE,True,45609.6138,191.95,214810.59,678.78,21.91,45605.67,False,0.322,2500
B_Fuel_Cost,1001,DE,True,6650.1872,383.69,411097.4,726.54,2.76,6642.12,False,0.372,2500
B_Fuel_Cost,1002,DE,True,23811.6287,214.8,234068.96,603.12,11.38,23807.1,False,0.31,2500
B_Fuel_Cost,1003,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.3,2500
B_Fuel_Cost,1004,DE,True,5.4251,260.63,267608.22,752.9,0.0,0.0,True,0.299,2500
B_Fuel_Cost,1005,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.259,2500
B_Fuel_Cost,1006,DE,True,2812.7536,255.99,260519.72,797.05,1.22,2807.44,False,0.277,2500
B_Fuel_Cost,1007,DE,True,3754.8134,239.89,243793.21,781.99,1.48,3749.94,False,0.264,2500
B_Fuel_Cost,1008,DE,True,40234.5683,370.69,421149.03,632.88,19.13,40226.36,False,0.281,2500
B_Fuel_Cost,1009,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.256,2500
B_Fuel_Cost,1010,DE,True,28024.181,362.12,401710.46,695.37,13.67,28016.44,False,0.27,2500
B_Fuel_Cost,1011,DE,True,21217.3263,177.67,187999.4,665.24,9.91,21213.57,False,0.27,2500
B_Fuel_Cost,1012,DE,True,8.1845,380.16,406237.24,779.59,0.0,0.0,True,0.294,2500
B_Fuel_Cost,1013,DE,True,30472.6617,164.45,176593.9,676.17,14.38,30469.13,False,0.303,2500
B_Fuel_Cost,1014,DE,True,13335.7156,377.2,414067.29,692.22,6.43,13327.63,False,0.285,2500
B_Fuel_Cost,1015,DE,True,39461.8451,232.54,251377.3,747.33,18.99,39456.95,False,0.287,2500
B_Fuel_Cost,1016,DE,True,3353.8919,221.9,227888.78,667.83,1.09,3349.28,False,0.303,2500
B_Fuel_Cost,1017,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.286,2500
B_Fuel_Cost,1018,DE,True,4119.3972,213.45,218027.64,610.05,1.6,4115.03,False,0.298,2500
B_Fuel_Cost,1019,DE,True,3210.2339,413.32,442104.64,778.18,1.21,3201.38,False,0.284,2500
B_Fuel_Cost,1020,DE,True,27692.8673,229.72,242718.75,766.83,13.53,27688.11,False,0.286,2500
B_Fuel_Cost,1021,DE,True,19123.5832,222.49,234157.98,748.4,9.29,19118.98,False,0.275,2500
B_Fuel_Cost,1022,DE,True,3.9602,193.75,190394.35,806.35,0.0,0.0,True,0.308,2500
B_Fuel_Cost,1023,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.353,2500
B_Fuel_Cost,1024,DE,True,15568.3099,331.14,359006.22,638.03,7.1,15561.25,False,0.334,2500
B_Fuel_Cost,1025,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.313,2500
B_Fuel_Cost,1026,DE,True,2225.9151,238.84,240966.75,783.49,0.75,2221.07,False,0.372,2500
B_Fuel_Cost,1027,DE,True,19525.5279,248.25,259688.43,746.61,9.33,19520.33,False,0.326,2500
B_Fuel_Cost,1028,DE,True,6249.7442,186.95,187328.47,694.69,2.8,6245.99,False,0.362,2500
B_Fuel_Cost,1029,DE,True,30349.2422,292.01,318707.21,743.99,14.48,30343.09,False,0.335,2500
B_Fuel_Cost,1030,DE,True,45609.8529,191.95,214810.59,678.78,21.91,45605.67,False,0.354,2500
C_Fuel_GHG,1001,DE,True,6648.473,383.69,411097.4,726.54,2.76,6642.12,False,0.402,2500
C_Fuel_GHG,1002,DE,True,23811.2933,214.8,234068.96,603.12,11.38,23807.1,False,0.354,2500
C_Fuel_GHG,1003,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.359,2500
C_Fuel_GHG,1004,DE,True,5.2755,260.63,267608.22,752.9,0.0,0.0,True,0.336,2500
C_Fuel_GHG,1005,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.26,2500
C_Fuel_GHG,1006,DE,True,2812.825,255.99,260519.72,797.05,1.22,2807.44,False,0.282,2500
C_Fuel_GHG,1007,DE,True,3754.987,239.89,243793.21,781.99,1.48,3749.94,False,0.26,2500
C_Fuel_GHG,1008,DE,True,40232.3839,370.69,421149.03,632.88,19.13,40226.36,False,0.273,2500
C_Fuel_GHG,1009,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.254,2500
C_Fuel_GHG,1010,DE,True,28022.4605,362.12,401710.46,695.37,13.67,28016.44,False,0.276,2500
C_Fuel_GHG,1011,DE,True,21217.6656,177.67,187999.4,665.24,9.91,21213.57,False,0.271,2500
C_Fuel_GHG,1012,DE,True,6.6445,380.16,406237.24,779.59,0.0,0.0,True,0.301,2500
C_Fuel_GHG,1013,DE,True,30473.159,164.45,176593.9,676.17,14.38,30469.13,False,0.268,2500
C_Fuel_GHG,1014,DE,True,13333.8403,377.2,414067.29,692.22,6.43,13327.63,False,0.265,2500
C_Fuel_GHG,1015,DE,True,39461.8637,232.54,251377.3,747.33,18.99,39456.95,False,0.258,2500
C_Fuel_GHG,1016,DE,True,3353.8244,221.9,227888.78,667.83,1.09,3349.28,False,0.284,2500
C_Fuel_GHG,1017,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.262,2500
C_Fuel_GHG,1018,DE,True,4119.2658,213.45,218027.64,610.05,1.6,4115.03,False,0.289,2500
C_Fuel_GHG,1019,DE,True,3208.3296,413.32,442104.64,778.18,1.21,3201.38,False,0.27,2500
C_Fuel_GHG,1020,DE,True,27693.0046,229.72,242718.75,766.83,13.53,27688.11,False,0.274,2500
C_Fuel_GHG,1021,DE,True,19123.7402,222.49,234157.98,748.4,9.29,19118.98,False,0.264,2500
C_Fuel_GHG,1022,DE,True,4.7743,193.75,190394.35,806.35,0.0,0.0,True,0.283,2500
C_Fuel_GHG,1023,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.256,2500
C_Fuel_GHG,1024,DE,True,15566.8095,331.14,359006.22,638.03,7.1,15561.25,False,0.267,2500
C_Fuel_GHG,1025,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.262,2500
C_Fuel_GHG,1026,DE,True,2226.1226,238.84,240966.75,783.49,0.75,2221.07,False,0.312,2500
C_Fuel_GHG,1027,DE,True,19525.4474,248.25,259688.43,746.61,9.33,19520.33,False,0.291,2500
C_Fuel_GHG,1028,DE,True,6250.1885,186.95,187328.47,694.69,2.8,6245.99,False,0.287,2500
C_Fuel_GHG,1029,DE,True,30348.5889,292.01,318707.21,743.99,14.48,30343.09,False,0.277,2500
C_Fuel_GHG,1030,DE,True,45609.9769,191.95,214810.59,678.78,21.91,45605.67,False,0.281,2500
D_Fuel_Cost_GHG,1001,DE,True,6649.2441,383.69,411097.4,726.54,2.76,6642.12,False,0.299,2500
D_Fuel_Cost_GHG,1002,DE,True,23811.4875,214.8,234068.96,603.12,11.38,23807.1,False,0.27,2500
D_Fuel_Cost_GHG,1003,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.271,2500
D_Fuel_Cost_GHG,1004,DE,True,5.3559,260.63,267608.22,752.9,0.0,0.0,True,0.298,2500
D_Fuel_Cost_GHG,1005,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.272,2500
D_Fuel_Cost_GHG,1006,DE,True,2812.809,255.99,260519.72,797.05,1.22,2807.44,False,0.29,2500
D_Fuel_Cost_GHG,1007,DE,True,3754.9306,239.89,243793.21,781.99,1.48,3749.94,False,0.265,2500
D_Fuel_Cost_GHG,1008,DE,True,40233.4162,370.69,421149.03,632.88,19.13,40226.36,False,0.276,2500
D_Fuel_Cost_GHG,1009,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.261,2500
D_Fuel_Cost_GHG,1010,DE,True,28023.2674,362.12,401710.46,695.37,13.67,28016.44,False,0.273,2500
D_Fuel_Cost_GHG,1011,DE,True,21217.5634,177.67,187999.4,665.24,9.91,21213.57,False,0.279,2500
D_Fuel_Cost_GHG,1012,DE,True,7.3421,380.16,406237.24,779.59,0.0,0.0,True,0.286,2500
D_Fuel_Cost_GHG,1013,DE,True,30472.9995,164.45,176593.9,676.17,14.38,30469.13,False,0.264,2500
D_Fuel_Cost_GHG,1014,DE,True,13334.7028,377.2,414067.29,692.22,6.43,13327.63,False,0.267,2500
D_Fuel_Cost_GHG,1015,DE,True,39461.9092,232.54,251377.3,747.33,18.99,39456.95,False,0.26,2500
D_Fuel_Cost_GHG,1016,DE,True,3353.8722,221.9,227888.78,667.83,1.09,3349.28,False,0.283,2500
D_Fuel_Cost_GHG,1017,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.261,2500
D_Fuel_Cost_GHG,1018,DE,True,4119.3333,213.45,218027.64,610.05,1.6,4115.03,False,0.279,2500
D_Fuel_Cost_GHG,1019,DE,True,3209.1798,413.32,442104.64,778.18,1.21,3201.38,False,0.27,2500
D_Fuel_Cost_GHG,1020,DE,True,27692.9875,229.72,242718.75,766.83,13.53,27688.11,False,0.272,2500
D_Fuel_Cost_GHG,1021,DE,True,19123.7133,222.49,234157.98,748.4,9.29,19118.98,False,0.258,2500
D_Fuel_Cost_GHG,1022,DE,True,4.4377,193.75,190394.35,806.35,0.0,0.0,True,0.277,2500
D_Fuel_Cost_GHG,1023,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.28,2500
D_Fuel_Cost_GHG,1024,DE,True,15567.4974,331.14,359006.22,638.03,7.1,15561.25,False,0.275,2500
D_Fuel_Cost_GHG,1025,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.262,2500
D_Fuel_Cost_GHG,1026,DE,True,2226.0472,238.84,240966.75,783.49,0.75,2221.07,False,0.286,2500
D_Fuel_Cost_GHG,1027,DE,True,19525.5122,248.25,259688.43,746.61,9.33,19520.33,False,0.57,2500
D_Fuel_Cost_GHG,1028,DE,True,6250.0118,186.95,187328.47,694.69,2.8,6245.99,False,0.417,2500
D_Fuel_Cost_GHG,1029,DE,True,30348.9264,292.01,318707.21,743.99,14.48,30343.09,False,0.344,2500
D_Fuel_Cost_GHG,1030,DE,True,45609.999,191.95,214810.59,678.78,21.91,45605.67,False,0.316,2500
E_Full_Schedule_Risk,1001,DE,True,6648.2274,383.69,411097.4,726.54,2.76,6642.12,False,0.307,2500
E_Full_Schedule_Risk,1002,DE,True,23810.953,214.8,234068.96,603.12,11.38,23807.1,False,0.263,2500
E_Full_Schedule_Risk,1003,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.264,2500
E_Full_Schedule_Risk,1004,DE,True,4.5537,260.63,267608.22,752.9,0.0,0.0,True,0.29,2500
E_Full_Schedule_Risk,1005,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.256,2500
E_Full_Schedule_Risk,1006,DE,True,2812.0135,255.99,260519.72,797.05,1.22,2807.44,False,0.293,2500
E_Full_Schedule_Risk,1007,DE,True,3754.2,239.89,243793.21,781.99,1.48,3749.94,False,0.267,2500
E_Full_Schedule_Risk,1008,DE,True,40232.582,370.69,421149.03,632.88,19.13,40226.36,False,0.269,2500
E_Full_Schedule_Risk,1009,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.261,2500
E_Full_Schedule_Risk,1010,DE,True,28022.3919,362.12,401710.46,695.37,13.67,28016.44,False,0.269,2500
E_Full_Schedule_Risk,1011,DE,True,21217.0693,177.67,187999.4,665.24,9.91,21213.57,False,0.266,2500
E_Full_Schedule_Risk,1012,DE,True,6.2548,380.16,406237.24,779.59,0.0,0.0,True,0.276,2500
E_Full_Schedule_Risk,1013,DE,True,30472.5692,164.45,176593.9,676.17,14.38,30469.13,False,0.257,2500
E_Full_Schedule_Risk,1014,DE,True,13333.7229,377.2,414067.29,692.22,6.43,13327.63,False,0.262,2500
E_Full_Schedule_Risk,1015,DE,True,39461.345,232.54,251377.3,747.33,18.99,39456.95,False,0.256,2500
E_Full_Schedule_Risk,1016,DE,True,3353.2022,221.9,227888.78,667.83,1.09,3349.28,False,0.287,2500
E_Full_Schedule_Risk,1017,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.261,2500
E_Full_Schedule_Risk,1018,DE,True,4118.7103,213.45,218027.64,610.05,1.6,4115.03,False,0.28,2500
E_Full_Schedule_Risk,1019,DE,True,3208.035,413.32,442104.64,778.18,1.21,3201.38,False,0.273,2500
E_Full_Schedule_Risk,1020,DE,True,27692.3862,229.72,242718.75,766.83,13.53,27688.11,False,0.274,2500
E_Full_Schedule_Risk,1021,DE,True,19123.098,222.49,234157.98,748.4,9.29,19118.98,False,0.263,2500
E_Full_Schedule_Risk,1022,DE,True,3.7641,193.75,190394.35,806.35,0.0,0.0,True,0.277,2500
E_Full_Schedule_Risk,1023,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.256,2500
E_Full_Schedule_Risk,1024,DE,True,15566.6543,331.14,359006.22,638.03,7.1,15561.25,False,0.265,2500
E_Full_Schedule_Risk,1025,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.259,2500
E_Full_Schedule_Risk,1026,DE,True,2225.3115,238.84,240966.75,783.49,0.75,2221.07,False,0.264,2500
E_Full_Schedule_Risk,1027,DE,True,19524.824,248.25,259688.43,746.61,9.33,19520.33,False,0.273,2500
E_Full_Schedule_Risk,1028,DE,True,6249.4316,186.95,187328.47,694.69,2.8,6245.99,False,0.285,2500
E_Full_Schedule_Risk,1029,DE,True,30348.1933,292.01,318707.21,743.99,14.48,30343.09,False,0.27,2500
E_Full_Schedule_Risk,1030,DE,True,45609.5795,191.95,214810.59,678.78,21.91,45605.67,False,0.274,2500
